Dataset,Algorithm,Confusion Matrix,Accuracy,Precision_0,Recall_0,F1_0,Support_0,Precision_1,Recall_1,F1_1,Support_1,Number of Positive Samples,Number of Negative Samples,Execution Time (s),Model Group
LABR_Preprocessed_Balanced,KNN (default),"[[7435  663]
 [1938 6170]]",0.8395,0.7932,0.9181,0.8511,8098,0.903,0.761,0.8259,8108,40514,40514,47.5524,KNN
LABR,KNN (k=17),"[[ 116 1511]
 [  13 8042]]",0.8426,0.8992,0.0713,0.1321,1627,0.8418,0.9984,0.9134,8055,40528,7881,17.6193,KNN
LABR_Balanced,KNN (k=15),"[[8057   77]
 [1608 6470]]",0.8961,0.8336,0.9905,0.9053,8134,0.9882,0.8009,0.8848,8078,40528,40528,50.3198,KNN
LABR_Preprocessed,KNN (k=1),"[[ 548 1041]
 [ 742 7348]]",0.8158,0.4248,0.3449,0.3807,1589,0.8759,0.9083,0.8918,8090,40514,7877,16.9022,KNN
LABR_Preprocessed_Balanced,KNN (k=1),"[[7996  102]
 [ 895 7213]]",0.9385,0.8993,0.9874,0.9413,8098,0.9861,0.8896,0.9354,8108,40514,40514,48.2265,KNN
LABR,AdaBoost (default),"[[   6 1621]
 [   0 8055]]",0.8326,1.0,0.0037,0.0073,1627,0.8325,1.0,0.9086,8055,40528,7881,32.0453,AdaBoost
LABR_Balanced,AdaBoost (default),"[[4285 3849]
 [1792 6286]]",0.652,0.7051,0.5268,0.6031,8134,0.6202,0.7782,0.6903,8078,40528,40528,44.381,AdaBoost
LABR_Preprocessed,AdaBoost (default),"[[   1 1588]
 [   0 8090]]",0.8359,1.0,0.0006,0.0013,1589,0.8359,1.0,0.9106,8090,40514,7877,20.5723,AdaBoost
LABR_Preprocessed_Balanced,AdaBoost (default),"[[7282  816]
 [5255 2853]]",0.6254,0.5808,0.8992,0.7058,8098,0.7776,0.3519,0.4845,8108,40514,40514,29.2817,AdaBoost
LABR,AdaBoost (n_estimators=500),"[[ 128 1499]
 [  29 8026]]",0.8422,0.8153,0.0787,0.1435,1627,0.8426,0.9964,0.9131,8055,40528,7881,310.7671,AdaBoost
LABR_Balanced,AdaBoost (n_estimators=500),"[[5294 2840]
 [1824 6254]]",0.7123,0.7437,0.6508,0.6942,8134,0.6877,0.7742,0.7284,8078,40528,40528,441.7348,AdaBoost
LABR_Preprocessed,AdaBoost (n_estimators=500),"[[ 127 1462]
 [  26 8064]]",0.8463,0.8301,0.0799,0.1458,1589,0.8465,0.9968,0.9155,8090,40514,7877,195.6489,AdaBoost
LABR_Preprocessed_Balanced,AdaBoost (n_estimators=500),"[[6337 1761]
 [2737 5371]]",0.7224,0.6984,0.7825,0.7381,8098,0.7531,0.6624,0.7049,8108,40514,40514,285.9208,AdaBoost
